Time(s),Proj_X,Proj_Y,Proj_Z,Raw_X,Raw_Y,Raw_Z,Q0,QX,QY,QZ,Axis_0,Axis_1,Axis_2,Axis_3,Axis_4,Axis_5,Axis_6
0.09204936027526855,10.534995227500104,-154.877678639638,50.08873515557798,10.534995227500104,-154.877678639638,50.08873515557798,2.784803127647583e-17,-0.658541567320091,0.7475099946941756,-0.08690116192498176,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.2010362148284912,10.484354182823097,-154.8825234269083,50.11893470243432,10.484354182823097,-154.8825234269083,50.11893470243432,-9.282698471082448e-18,-0.6585171248379972,0.747508273108659,-0.08710096399700895,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.26854395866394043,10.47370318448634,-154.91204274774873,50.122829048534854,10.47370318448634,-154.91204274774873,50.122829048534854,2.784437059656381e-17,-0.6584168195109364,0.7476082693099412,-0.08700096231937518,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.32747769355773926,10.47370318448634,-154.91204274774873,50.122829048534854,10.47370318448634,-154.91204274774873,50.122829048534854,2.784437059656381e-17,-0.6584168195109364,0.7476082693099412,-0.08700096231937518,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.39635443687438965,10.573668619303675,-154.9140047390241,50.12457902911025,10.573668619303675,-154.9140047390241,50.12457902911025,-4.640717735630377e-18,-0.6584412331919578,0.7476099925914452,-0.0868011601885199,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.521583080291748,10.635678798747591,-154.79088066669794,50.1489757596117,10.635678798747591,-154.79088066669794,50.1489757596117,9.284000038328714e-18,-0.6586493551155305,0.7474034764390578,-0.08700040466978597,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.5780777931213379,10.635678798747591,-154.79088066669794,50.1489757596117,10.635678798747591,-154.79088066669794,50.1489757596117,9.284000038328714e-18,-0.6586493551155305,0.7474034764390578,-0.08700040466978597,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.6426069736480713,10.56540567152885,-154.76289794213545,50.19456802558914,10.56540567152885,-154.76289794213545,50.19456802558914,9.285161444528862e-18,-0.658742109172042,0.7473099897466905,-0.08710116433418535,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.7025377750396729,10.56540567152885,-154.76289794213545,50.19456802558914,10.56540567152885,-154.76289794213545,50.19456802558914,9.285161444528862e-18,-0.658742109172042,0.7473099897466905,-0.08710116433418535,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
0.7764015197753906,10.454356807551306,-154.83415535540576,50.172420094233665,10.454356807551306,-154.83415535540576,50.172420094233665,-1.3924153324665093e-17,-0.6585368673608789,0.7475026030791848,-0.08700030296707569,0.60075,-0.60075,0.0,0.0,-0.60075,0.60075,-0.00825
